loanID	memberNo	unitID	processedByEmployeeNo	borrowedAt	dueAt	returnedAt
6000	1004	5000	2001	2026-01-01 10:00:00	2026-01-15 10:00:00	2026-01-10 12:00:00
6001	1005	5001	2001	2026-02-01 10:00:00	2026-02-15 10:00:00	2026-02-11 12:00:00
6002	1006	5002	2001	2026-03-01 10:00:00	2026-03-15 10:00:00	2026-03-12 12:00:00
6003	1007	5003	2001	2026-04-01 10:00:00	2026-04-15 10:00:00	2026-04-13 12:00:00
6004	1008	5004	2001	2026-05-01 10:00:00	2026-05-15 10:00:00	2026-05-10 12:00:00
6005	1009	5005	2001	2026-06-01 10:00:00	2026-06-15 10:00:00	2026-06-11 12:00:00
6006	1010	5006	2001	2026-01-01 10:00:00	2026-01-15 10:00:00	2026-01-12 12:00:00
6007	1011	5007	2001	2026-02-01 10:00:00	2026-02-15 10:00:00	2026-02-13 12:00:00
6008	1012	5008	2001	2026-03-01 10:00:00	2026-03-15 10:00:00	2026-03-10 12:00:00
6009	1013	5009	2001	2026-04-01 10:00:00	2026-04-15 10:00:00	2026-04-11 12:00:00
6010	1014	5010	2001	2026-05-01 10:00:00	2026-05-15 10:00:00	2026-05-12 12:00:00
6011	1015	5011	2001	2026-06-01 10:00:00	2026-06-15 10:00:00	2026-06-13 12:00:00
6012	1016	5012	2001	2026-01-01 10:00:00	2026-01-15 10:00:00	2026-01-10 12:00:00
6013	1017	5013	2001	2026-02-01 10:00:00	2026-02-15 10:00:00	2026-02-11 12:00:00
6014	1004	5014	2001	2026-03-01 10:00:00	2026-03-15 10:00:00	2026-03-12 12:00:00
6015	1004	5010	2001	2027-01-01 10:00:00	2027-01-15 10:00:00	\N
6016	1005	5011	\N	2027-01-01 10:00:00	2027-01-15 10:00:00	\N
6017	1006	5012	\N	2027-01-01 10:00:00	2027-01-15 10:00:00	\N
