registrationID	eventNo	memberNo	registrationTime	status	attended
10000	9000	1004	2026-08-01 12:00:00	cancelled	0
10001	9001	1005	2026-08-01 12:00:00	cancelled	0
10002	9002	1006	2026-08-01 12:00:00	cancelled	0
10003	9003	1007	2026-08-01 12:00:00	registered	0
10004	9004	1008	2026-08-01 12:00:00	registered	0
10005	9005	1009	2026-08-01 12:00:00	registered	0
10006	9006	1010	2026-08-01 12:00:00	registered	0
10007	9007	1011	2026-08-01 12:00:00	cancelled	0
10008	9008	1012	2026-08-01 12:00:00	registered	0
10009	9009	1013	2026-08-01 12:00:00	registered	0
10010	9010	1014	2026-08-01 12:00:00	registered	0
10011	9011	1015	2026-08-01 12:00:00	registered	0
10012	9000	1016	2026-08-01 12:00:00	registered	0
10013	9001	1017	2026-08-01 12:00:00	cancelled	0
10014	9002	1004	2026-08-01 12:00:00	cancelled	0
10015	9003	1005	2026-08-01 12:00:00	registered	0
10016	9004	1006	2026-08-01 12:00:00	registered	0
10017	9005	1007	2026-08-01 12:00:00	registered	0
